decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2024-04-29T15:45:00Z,2024-04-29T15:45:00Z,long,24.91,24.771874719163275,24.771874719163275,1217,demand,24.78,24.87,rejected,2,2,2024-04-29T15:30:00Z,24.89,24.93,24.86,24.92,0.16250561673450759,2024-04-29T15:00:00Z,0.00812528083672538,0.11111111111112866,1.0,1.6458364537414092,24.84,24.93
2024-05-08T16:30:00Z,2024-05-08T16:30:00Z,long,25.11,24.98202052381365,24.98202052381365,1227,demand,24.99,25.08,verified,2,3,2024-05-08T16:15:00Z,25.09,25.11,25.06,25.1,0.15958952372702004,2024-05-08T16:00:00Z,0.007979476186351002,0.22222222222221782,1.0,1.3108830687372535,25.08,25.1
2024-07-01T14:15:00Z,2024-07-01T14:15:00Z,short,26.75,26.91773167810204,26.91773167810204,1261,supply,26.84,26.91,verified,4,4,2024-07-01T14:00:00Z,26.8,26.88,26.74,26.75,0.1546335620408128,2024-06-28T20:00:00Z,0.00773167810204064,,1.0,2.396166830029135,26.6,26.59
2024-07-22T15:15:00Z,2024-07-22T15:15:00Z,long,26.47,26.3394943987612,26.3394943987612,1279,demand,26.35,26.43,active,2,2,2024-07-22T15:00:00Z,26.45,26.5,26.43,26.48,0.21011202477603552,2024-07-22T15:00:00Z,0.010505601238801777,0.0,1.0,1.7563200154850398,26.36,26.45
2024-10-15T18:45:00Z,2024-10-15T18:45:00Z,short,28.78,28.879691162255995,28.879691162255995,1367,supply,28.8,28.87,rejected,3,3,2024-10-15T18:30:00Z,28.79,28.8,28.76,28.78,0.19382324511985743,2024-10-15T18:00:00Z,0.009691162255992872,,1.0,1.4241594607999015,28.77,28.75
2024-11-26T14:45:00Z,2024-11-26T14:45:00Z,short,27.7,27.821421221224284,27.821421221224284,1409,supply,27.72,27.81246305178996,verified,2,4,2024-11-26T14:30:00Z,27.8,27.81,27.6,27.7,0.1791633886865008,2024-11-25T21:00:00Z,0.008958169434325041,,1.0,1.3131863903876693,27.68,27.63
2025-01-06T14:45:00Z,2025-01-06T14:45:00Z,short,27.1,27.237280838004416,27.237280838004416,1451,supply,27.15,27.23,active,2,2,2025-01-06T14:30:00Z,27.13,27.19,27.07,27.1,0.14561676008831917,2025-01-03T21:00:00Z,0.0072808380044159585,,1.0,1.7160104750551457,26.99,26.98
2025-01-08T14:45:00Z,2025-01-08T14:45:00Z,short,27.55,27.687548514877133,27.687548514877133,1427,supply,27.61,27.68,active,3,3,2025-01-08T14:30:00Z,27.61,27.65,27.51,27.55,0.15097029754265648,2025-01-07T21:00:00Z,0.007548514877132824,,1.0,1.964978783959018,27.42,27.34
2025-04-22T17:45:00Z,2025-04-22T17:45:00Z,short,29.93,30.031808767625904,30.031808767625904,1547,supply,29.95,30.02,rejected,2,2,2025-04-22T17:30:00Z,29.95,29.95,29.89,29.92,0.23617535251809615,2025-04-22T17:00:00Z,0.011808767625904808,,1.0,1.597268108941455,29.99,29.84
2025-05-05T15:00:00Z,2025-05-05T15:00:00Z,short,29.36,29.544783409212943,29.544783409212943,1546,supply,29.39,29.534873963236713,rejected,3,3,2025-05-05T14:45:00Z,29.38,29.41,29.34,29.35,0.19818891952464535,2025-05-05T15:00:00Z,0.009909445976232268,,1.0,1.3445025238571113,29.42,29.35
2025-05-13T19:15:00Z,2025-05-13T19:15:00Z,long,29.92,29.82247668696247,29.82247668696247,1559,demand,29.83,29.89,verified,3,3,2025-05-13T19:00:00Z,29.89,29.92,29.89,29.92,0.15046626075051386,2025-05-13T19:00:00Z,0.007523313037525694,0.0,1.0,1.625388550625452,29.9,29.9
2025-05-29T13:45:00Z,2025-05-29T13:45:00Z,short,30.16,30.2461707124235,30.2461707124235,1568,supply,30.2,30.24,verified,2,3,2025-05-29T13:30:00Z,30.29,30.31,30.15,30.16,0.12341424847003005,2025-05-28T20:00:00Z,0.006170712423501503,,1.0,2.1542678105875193,30.03,29.98
2025-06-13T18:30:00Z,2025-06-13T18:30:00Z,short,32.97,33.07765873966038,33.07765873966038,1598,supply,33.01,33.07,active,3,3,2025-06-13T18:15:00Z,33.01,33.02,32.94,32.97,0.1531747932076312,2025-06-13T18:00:00Z,0.00765873966038156,,1.0,1.7943123276729298,33.01,33.0
2025-07-10T14:30:00Z,2025-07-10T14:30:00Z,short,33.2,33.404086173639584,33.404086173639584,1606,supply,33.31,33.39621181317834,verified,3,4,2025-07-10T14:15:00Z,33.28,33.32,33.18,33.2,0.15748720922483353,2025-07-10T14:30:00Z,0.007874360461241677,,1.0,2.3672646023278605,33.31,33.14
2025-08-15T18:15:00Z,2025-08-15T18:15:00Z,long,34.49,34.42214926330452,34.42214926330452,1639,demand,34.43,34.47,verified,3,3,2025-08-15T18:00:00Z,34.48,34.5,34.46,34.5,0.157014733909658,2025-08-15T18:00:00Z,0.007850736695482901,0.2499999999999556,1.0,1.946268417387073,34.43,34.48
2026-01-16T18:15:00Z,2026-01-16T18:15:00Z,short,80.27,80.8804482679487,80.8804482679487,1782,supply,80.52,80.8,verified,3,3,2026-01-16T18:00:00Z,80.47,80.8,80.23,80.26,1.608965358973927,2026-01-16T18:00:00Z,0.08044826794869636,,1.0,2.2158866712453076,80.53,80.47
2026-05-05T16:15:00Z,2026-05-05T16:15:00Z,short,66.38,66.73599886957973,66.73599886957973,1853,supply,66.52,66.7,verified,3,4,2026-05-05T16:00:00Z,66.5,66.52,66.29,66.39,0.7199773915946105,2026-05-05T16:00:00Z,0.03599886957973052,,1.0,1.9222159421095422,66.73,66.5
